month,day,land_atmosphere,sea_atmosphere,precipitation,temperature,humidity,wind_speed,wind_direction,snow_falling,melted_snow,snow_depth
1,1,994.4,1000.1,0.0,-7.9,75,2.9,315.0,0,0,35
1,2,998.5,1004.3,0.0,-12.7,72,2.7,225.0,0,0,35
1,3,1000.6,1006.3,0.0,-11.4,72,5.5,315.0,0,1,34
1,4,1005.0,1010.8,0.0,-9.7,70,2.8,225.0,0,0,34
1,5,1011.0,1016.8,0.0,-11.4,72,2.7,225.0,0,0,34
1,6,993.5,999.1,6.0,-6.4,83,7.4,315.0,6,-6,40
1,7,980.5,985.9,0.5,-4.0,52,9.9,292.5,0,0,40
1,8,990.7,996.1,0.0,1.0,66,10.4,292.5,0,1,39
1,9,997.3,1002.8,0.0,0.2,62,9.3,292.5,0,0,39
1,10,994.4,999.9,0.0,-0.9,56,9.0,292.5,0,1,38
1,11,997.0,1002.4,0.0,-0.5,61,7.3,292.5,0,1,37
1,12,1006.7,1012.3,0.0,-3.1,70,8.4,292.5,0,0,37
1,13,1015.5,1021.2,0.0,-4.2,67,9.1,315.0,0,0,37
1,14,1015.7,1021.3,0.0,-2.1,62,6.7,315.0,0,1,36
1,15,1012.1,1017.7,0.0,-4.7,79,2.6,225.0,0,0,36
1,16,1006.5,1012.1,0.0,-4.5,74,3.0,22.5,0,0,36
1,17,993.3,998.9,5.0,-5.3,72,9.2,292.5,6,-6,42
1,18,1003.2,1008.8,0.0,-6.6,52,11.4,292.5,0,2,40
1,19,1004.6,1010.3,0.0,-10.9,70,2.5,225.0,0,3,37
1,20,1009.4,1015.1,0.0,-6.7,64,8.6,292.5,0,0,37
1,21,1020.3,1026.1,0.0,-6.4,68,5.8,292.5,0,0,37
1,22,1014.6,1020.3,4.0,-5.4,81,2.0,225.0,5,-5,42
1,23,998.1,1003.6,5.0,-0.1,79,7.3,0.0,8,-8,50
1,24,1010.9,1016.4,0.0,-2.4,58,8.1,292.5,0,5,45
1,25,1022.9,1028.6,0.0,-9.1,70,2.9,22.5,0,1,44
1,26,1020.3,1026.0,0.0,-6.3,77,2.6,202.5,0,1,43
1,27,1002.1,1007.6,0.0,-1.5,82,9.3,315.0,0,0,43
1,28,1007.1,1012.7,0.0,-6.3,49,8.9,315.0,0,1,42
1,29,1017.2,1023.0,0.0,-8.8,57,5.6,292.5,0,1,41
1,30,1017.1,1022.8,0.0,-5.8,65,2.3,157.5,0,0,41
1,31,1004.8,1010.3,4.5,-2.0,75,7.4,0.0,5,-5,46
2,1,1003.9,1009.4,0.0,-2.9,57,10.5,292.5,0,1,45
2,2,1008.7,1014.3,0.0,-3.4,51,10.6,292.5,0,4,41
2,3,1015.5,1021.2,0.0,-7.9,59,5.3,315.0,0,1,40
2,4,1015.6,1021.4,0.0,-13.7,68,2.7,225.0,0,0,40
2,5,1013.0,1018.8,0.0,-11.8,63,2.7,202.5,0,0,40
2,6,1010.7,1016.4,0.0,-8.8,69,2.8,202.5,0,0,40
2,7,1014.7,1020.4,0.0,-6.8,67,2.7,202.5,0,0,40
2,8,1005.3,1010.9,12.5,-2.5,87,3.0,135.0,14,-14,54
2,9,993.7,999.2,0.0,-3.7,67,6.7,292.5,0,0,54
2,10,996.7,1002.4,0.5,-8.9,78,3.7,225.0,1,0,54
2,11,1003.8,1009.5,0.0,-10.1,73,2.7,202.5,0,1,53
2,12,1000.8,1006.5,0.0,-8.4,80,2.6,202.5,0,1,52
2,13,993.0,998.6,8.0,-5.2,91,4.8,0.0,10,-9,61
2,14,993.5,999.0,0.5,-1.6,65,8.9,292.5,0,0,61
2,15,994.4,999.9,0.0,-0.3,62,13.3,292.5,0,5,56
2,16,1003.1,1008.6,0.0,1.1,66,10.7,292.5,0,10,46
2,17,1011.6,1017.1,0.0,-0.9,78,3.0,135.0,0,3,43
2,18,1011.0,1016.5,0.0,0.4,73,2.1,90.0,0,1,42
2,19,1011.2,1016.7,0.0,0.1,72,3.5,45.0,0,0,42
2,20,1017.8,1023.4,0.0,-1.1,65,3.3,22.5,0,0,42
2,21,1022.9,1028.6,0.0,-4.0,76,2.0,180.0,0,0,42
2,22,1018.0,1023.6,0.0,-1.6,79,2.4,157.5,1,0,42
2,23,1000.3,1005.8,4.0,2.2,73,3.8,315.0,6,-6,48
2,24,1000.9,1006.4,0.0,1.3,59,7.3,292.5,0,6,42
2,25,1011.4,1016.9,0.0,-0.5,61,4.0,292.5,0,3,39
2,26,1014.9,1020.5,3.0,-2.6,86,2.7,112.5,4,-3,42
2,27,993.6,999.0,31.0,0.5,84,7.6,0.0,28,-28,70
2,28,1012.7,1018.2,0.0,-0.6,58,9.8,292.5,0,9,61
3,1,1013.5,1019.1,6.0,-5.1,82,2.5,315.0,8,-4,65
3,2,993.6,999.0,18.0,0.7,78,12.1,292.5,10,-10,75
3,3,1010.6,1016.1,0.0,0.9,58,7.6,292.5,0,4,71
3,4,1002.3,1007.8,11.5,-1.3,89,3.8,315.0,12,-9,80
3,5,1005.1,1010.6,0.0,-0.6,69,5.2,337.5,0,2,78
3,6,1021.0,1026.6,0.0,-2.9,79,3.4,157.5,0,5,73
3,7,1022.4,1028.0,0.5,0.5,86,5.1,135.0,1,1,72
3,8,1022.2,1027.7,0.0,2.0,88,2.3,90.0,0,3,69
3,9,1018.4,1023.9,4.5,2.0,90,2.1,22.5,0,5,64
3,10,987.1,992.5,84.5,1.8,93,7.6,112.5,21,-13,77
3,11,981.2,986.6,0.0,-0.2,76,7.1,202.5,0,3,74
3,12,991.5,996.9,0.0,0.6,57,7.7,247.5,0,4,70
3,13,1000.9,1006.4,0.0,0.5,69,6.5,292.5,0,1,69
3,14,1010.7,1016.2,0.0,0.3,66,7.6,292.5,0,3,66
3,15,1015.7,1021.2,0.0,0.7,62,3.4,315.0,0,2,64
3,16,1015.5,1021.0,0.0,2.1,66,2.6,202.5,0,2,62
3,17,1009.2,1014.7,0.0,3.5,69,5.2,337.5,0,3,59
3,18,1012.1,1017.5,0.0,5.6,53,8.3,292.5,0,3,56
3,19,1011.5,1017.0,0.0,2.2,77,2.0,225.0,0,3,53
3,20,1010.1,1015.6,0.0,1.5,93,2.7,135.0,0,3,50
3,21,1009.1,1014.6,0.0,1.5,84,3.2,112.5,0,1,49
3,22,1006.7,1012.2,0.0,0.9,88,2.6,135.0,0,2,47
3,23,1002.3,1007.8,1.0,0.8,74,7.7,225.0,2,-1,48
3,24,1000.5,1005.9,0.5,-0.9,67,6.7,22.5,2,2,46
3,25,1012.4,1017.9,0.0,1.7,56,8.8,292.5,0,1,45
3,26,1015.3,1020.8,0.0,2.6,56,5.7,292.5,0,4,41
3,27,1003.8,1009.1,0.0,7.7,51,7.2,292.5,0,4,37
3,28,1005.7,1011.0,0.0,9.6,51,5.0,292.5,0,6,31
3,29,1005.1,1010.5,0.0,7.2,58,2.9,247.5,0,6,25
3,30,1011.5,1016.9,0.0,5.0,73,4.1,202.5,0,6,19
3,31,1007.4,1012.8,0.0,5.8,74,4.0,337.5,0,10,9
4,1,1008.7,1014.1,0.0,4.7,72,4.9,22.5,0,9,0
